City,start_month,Start_Lat,Start_Lng,Severity,State,Total Accidents
Aberdeen,1,39.515463,-76.158321,2,MD,1
Aberdeen,1,39.515744,-76.158759,2,MD,1
Aberdeen,1,39.516998,-76.202866,3,MD,1
Aberdeen,1,39.5193,-76.171239,2,MD,1
Aberdeen,1,39.5193,-76.171239,4,MD,1
Aberdeen,1,39.519466,-76.185789,2,MD,1
Aberdeen,1,39.519528,-76.17123199999997,2,MD,2
Aberdeen,1,39.519528,-76.17123199999997,4,MD,1
Aberdeen,1,39.51968400000001,-76.227506,2,MD,1
Aberdeen,1,39.52015,-76.199122,2,MD,1
Aberdeen,1,39.52015042286148,-76.19912266694928,2,MD,1
Aberdeen,1,39.522019,-76.17111899999998,2,MD,2
Aberdeen,1,39.522434,-76.17911099999998,2,MD,1
Aberdeen,1,39.522825,-76.184434,2,MD,2
Aberdeen,1,39.522923,-76.184228,2,MD,1
Aberdeen,1,39.522963,-76.18437800000002,4,MD,1
Aberdeen,1,39.526173,-76.19117,2,MD,1
Aberdeen,1,39.52648,-76.191805,2,MD,1
Aberdeen,1,39.528751,-76.186151,2,MD,1
Aberdeen,1,39.530686,-76.182192,2,MD,2
Aberdeen,1,46.943496,-123.863437,2,WA,2
Aberdeen,1,46.97598,-123.811983,2,WA,1
Aberdeen,2,35.103889,-79.379306,2,NC,1
Aberdeen,2,35.105604,-79.38006999999998,2,NC,1
Aberdeen,2,39.457189,-76.209733,2,MD,1
Aberdeen,2,39.462421,-76.202049,2,MD,1
Aberdeen,2,39.486376,-76.245385,2,MD,1
Aberdeen,2,39.48848,-76.197436,2,MD,1
Aberdeen,2,39.48875784855132,-76.19826436006451,2,MD,1
Aberdeen,2,39.489038,-76.196416,2,MD,1
Aberdeen,2,39.489529,-76.211632,2,MD,1
Aberdeen,2,39.490215,-76.209932,2,MD,1
Aberdeen,2,39.490229,-76.20184,2,MD,1
Aberdeen,2,39.492214,-76.179236,2,MD,1
Aberdeen,2,39.492558,-76.237675,2,MD,4
Aberdeen,2,39.49352145176175,-76.23598694764979,2,MD,1
Aberdeen,2,39.499795,-76.20926899999998,2,MD,1
Aberdeen,2,39.502411,-76.22451099999998,2,MD,2
Aberdeen,2,39.506401,-76.214588,2,MD,1
Aberdeen,2,39.509535,-76.164324,2,MD,1
Aberdeen,2,39.512501,-76.20654300000002,2,MD,1
Aberdeen,2,39.515953,-76.158796,2,MD,1
Aberdeen,2,39.516108,-76.159139,2,MD,1
Aberdeen,2,39.516831,-76.155788,2,MD,1
Aberdeen,2,39.52015,-76.199122,2,MD,5
Aberdeen,2,39.52015042286148,-76.19912266694928,2,MD,1
Aberdeen,2,39.520159,-76.199122,2,MD,1
Aberdeen,2,39.520429,-76.199229,2,MD,1
Aberdeen,2,39.52214598636855,-76.17109894716181,2,MD,1
Aberdeen,2,39.522266,-76.17112,2,MD,1
Aberdeen,2,39.526173,-76.19117,2,MD,2
Aberdeen,2,39.526173,-76.19117,3,MD,2
Aberdeen,2,39.53057800000001,-76.181849,2,MD,1
Aberdeen,2,39.53057885151133,-76.18184924089344,2,MD,1
Aberdeen,2,39.53057885151133,-76.18184924089344,4,MD,1
Aberdeen,2,39.53068613987193,-76.18219256364736,2,MD,1
Aberdeen,2,39.53068613987193,-76.18219256364736,4,MD,1
Aberdeen,2,39.530687,-76.182198,2,MD,2
Aberdeen,2,39.531263,-76.180976,2,MD,1
Aberdeen,2,46.864626,-124.060322,2,WA,1
Aberdeen,2,46.973052,-123.701462,2,WA,1
Aberdeen,3,39.48590397815949,-76.23899102174643,2,MD,1
Aberdeen,3,39.491976,-76.238958,2,MD,1
Aberdeen,3,39.492558,-76.237675,2,MD,3
Aberdeen,3,39.49352,-76.23598100000002,2,MD,2
Aberdeen,3,39.50465,-76.157562,2,MD,1
Aberdeen,3,39.506401,-76.214588,2,MD,1
Aberdeen,3,39.51045300000001,-76.166793,2,MD,1
Aberdeen,3,39.51990900000001,-76.16890699999998,2,MD,1
Aberdeen,3,39.52015042286148,-76.19912266694928,2,MD,1
Aberdeen,3,39.52042937259903,-76.19922995530987,2,MD,1
Aberdeen,3,39.522869,-76.18428,2,MD,1
Aberdeen,3,39.526173,-76.19117,2,MD,1
Aberdeen,3,39.526173,-76.19117,3,MD,2
Aberdeen,3,39.527854,-76.188925,2,MD,1
Aberdeen,3,39.530261,-76.196713,2,MD,2
Aberdeen,3,39.532229,-76.20026999999997,4,MD,1
Aberdeen,3,46.891964,-124.044884,2,WA,1
Aberdeen,3,46.973011,-123.82031299999998,2,WA,1
Aberdeen,4,35.151402000000004,-79.414749,2,NC,1
Aberdeen,4,39.4801747797037,-76.21613860093966,4,MD,1
Aberdeen,4,39.48637604694611,-76.24538540803792,2,MD,1
Aberdeen,4,39.48656916599519,-76.24557852708698,2,MD,3
Aberdeen,4,39.48656916599519,-76.24557852708698,4,MD,1
Aberdeen,4,39.48911500000001,-76.241817,2,MD,1
Aberdeen,4,39.49089,-76.23992,2,MD,1
Aberdeen,4,39.49352,-76.23598100000002,2,MD,1
Aberdeen,4,39.5019,-76.226014,2,MD,2
Aberdeen,4,39.51334,-76.206754,2,MD,2
Aberdeen,4,39.52015042286148,-76.19912266694928,2,MD,7
Aberdeen,4,39.52303,-76.19606,2,MD,1
Aberdeen,4,39.52607274036633,-76.19208455049423,2,MD,1
Aberdeen,4,39.52607274036633,-76.19208455049423,4,MD,1
Aberdeen,4,39.526173,-76.19117,3,MD,1
Aberdeen,4,39.526493,-76.192089,2,MD,1
Aberdeen,4,39.528981,-76.186274,2,MD,1
Aberdeen,4,39.53057885151133,-76.18184924089344,2,MD,2
Aberdeen,4,39.53068613987193,-76.18219256364736,2,MD,5
Aberdeen,4,39.531785,-76.179487,2,MD,1
Aberdeen,4,39.534061,-76.204826,2,MD,1
Aberdeen,4,39.539509,-76.172658,2,MD,1
Aberdeen,4,39.556143,-76.154699,2,MD,2
Aberdeen,4,46.971321,-123.724426,2,WA,1
Aberdeen,4,46.977261,-123.80619,2,WA,1
Aberdeen,4,46.981651,-123.774757,2,WA,1
Aberdeen,5,35.099131,-79.37609,2,NC,2
Aberdeen,5,35.100233,-79.376924,2,NC,2
Aberdeen,5,35.100233,-79.376924,4,NC,1
Aberdeen,5,35.102187,-79.378377,2,NC,1
Aberdeen,5,35.10999,-79.382666,2,NC,1
Aberdeen,5,35.132348,-79.492149,2,NC,1
Aberdeen,5,35.132348,-79.492149,4,NC,1
Aberdeen,5,35.134377,-79.50026,2,NC,1
Aberdeen,5,35.134377,-79.50026,4,NC,1
Aberdeen,5,39.48656916599519,-76.24557852708698,2,MD,2
Aberdeen,5,39.491976,-76.238958,2,MD,1
Aberdeen,5,39.49352145176175,-76.23598694764979,2,MD,1
Aberdeen,5,39.5019,-76.226014,2,MD,3
Aberdeen,5,39.503822,-76.16441999999998,2,MD,1
Aberdeen,5,39.51334,-76.206754,2,MD,4
Aberdeen,5,39.520159,-76.199122,2,MD,2
Aberdeen,5,39.523227,-76.195848,2,MD,1
Aberdeen,5,39.52557,-76.190857,3,MD,1
Aberdeen,5,39.526173,-76.19117,3,MD,2
Aberdeen,5,39.5264804361366,-76.19180560075668,2,MD,1
Aberdeen,5,39.526573,-76.191956,3,MD,1
Aberdeen,5,39.527969,-76.18808,2,MD,1
Aberdeen,5,39.53057885151133,-76.18184924089344,2,MD,2
Aberdeen,5,39.539385,-76.172358,2,MD,1
Aberdeen,5,39.539509,-76.172658,2,MD,1
Aberdeen,5,39.54038,-76.172104,2,MD,1
Aberdeen,5,39.546135,-76.16762,2,MD,1
Aberdeen,5,39.55329,-76.158966,2,MD,1
Aberdeen,5,45.451599,-98.48954,2,SD,1
Aberdeen,5,46.951691,-123.82048,3,WA,1
Aberdeen,5,46.971097,-123.738216,2,WA,1
Aberdeen,5,46.975269,-123.813492,1,WA,1
Aberdeen,5,46.977874,-123.795075,2,WA,1
Aberdeen,5,46.978489,-123.754341,3,WA,1
Aberdeen,5,46.980528,-123.766688,2,WA,1
Aberdeen,5,46.981651,-123.774757,2,WA,1
Aberdeen,6,39.48656916599519,-76.24557852708698,2,MD,1
Aberdeen,6,39.49089,-76.23992,2,MD,1
Aberdeen,6,39.491976,-76.238958,2,MD,1
Aberdeen,6,39.49352,-76.23598100000002,2,MD,3
Aberdeen,6,39.5019,-76.226014,2,MD,3
Aberdeen,6,39.502026,-76.224349,2,MD,1
Aberdeen,6,39.506401,-76.214588,2,MD,1
Aberdeen,6,39.51334,-76.206754,2,MD,1
Aberdeen,6,39.513903000000006,-76.206159,2,MD,1
Aberdeen,6,39.520159,-76.199122,2,MD,1
Aberdeen,6,39.52042937,-76.19922996,2,MD,1
Aberdeen,6,39.520818,-76.14636800000002,2,MD,1
Aberdeen,6,39.52281117420424,-76.19603276216412,2,MD,1
Aberdeen,6,39.526173,-76.19117,3,MD,6
Aberdeen,6,39.526173,-76.19117,4,MD,1
Aberdeen,6,39.526493,-76.192089,2,MD,1
Aberdeen,6,39.526562,-76.19196,2,MD,1
Aberdeen,6,39.528981,-76.186274,2,MD,1
Aberdeen,6,39.529869,-76.183483,2,MD,2
Aberdeen,6,39.530687,-76.182198,2,MD,1
Aberdeen,6,39.531263,-76.180976,2,MD,1
Aberdeen,6,39.531785,-76.179487,2,MD,1
Aberdeen,6,39.539509,-76.172658,2,MD,2
Aberdeen,6,39.541994,-76.233876,2,MD,1
Aberdeen,6,39.550781,-76.161559,2,MD,1
Aberdeen,6,39.55329,-76.158966,2,MD,1
Aberdeen,6,39.556143,-76.154699,2,MD,1
Aberdeen,6,45.458328,-98.438599,2,SD,1
