City,Total Accidents
Kettering,9
Kettle Falls,9
Kettle River,12
Kettleman City,324
Kevin,2
Kew Gardens,170
Kewaunee,1
Key Biscayne,347
Key Largo,196
Key West,65
Keyes,54
Keymar,31
Keyport,44
Keyser,4
Keystone,6
Keystone Heights,22
Keysville,56
Kiefer,1
Kiester,3
Kila,58
Kildeer,43
Kilgore,6
Kilkenny,5
Kill Buck,4
Killbuck,1
Killdeer,16
Killeen,1
Killen,36
Killingworth,4
Kilmarnock,29
Kiln,7
Kim,24
Kimball,105
Kimberly,22
Kimbolton,2
Kimmell,15
Kinard,5
Kinards,109
Kincaid,1
Kinderhook,18
Kindred,9
King,18
King and Queen Court House,1
King City,424
King Ferry,3
King George,601
King Hill,50
King of Prussia,1478
King William,45
Kingdom City,30
Kingman,458
Kings Beach,146
Kings Canyon National Pk,9
Kings Mills,1
Kings Mountain,128
Kings Park,10
Kingsburg,544
Kingsbury,4
Kingsland,53
Kingsley,28
Kingsport,131
Kingston,469
Kingston Springs,66
Kingstree,219
Kingsville,192
Kingwood,538
Kinmundy,4
Kinnelon,2
Kinney,2
Kinross,3
Kinsale,6
Kinsey,8
Kinston,72
Kintyre,1
Kinzers,94
Kiowa,4
Kirby,5
Kirkland,304
Kirkville,77
Kirkwood,79
Kirtland,1
Kissimmee,7446
Kit Carson,49
Kittanning,50
Kittery,3
Kittrell,6
Kitzmiller,2
Klamath,174
Klamath Falls,889
Klamath River,68
Klickitat,2
Klingerstown,1
Knapp,30
Kneeland,24
Knightdale,1160
Knights Landing,106
Knightsen,3
Knightstown,116
Knob Noster,5
Knobel,8
Knox,129
Knox City,1
Knoxville,2700
Kodak,70
Kohler,5
Kokomo,43
Koosharem,10
Kooskia,1
Koppel,3
Korbel,14
Kosciusko,3
Kossuth,1
Kouts,8
Kramer,1
Kremlin,5
Kremmling,69
Kresgeville,6
Krotz Springs,4
Krum,1
Kulm,4
Kulpmont,8
Kulpsville,40
Kuna,30
Kunkletown,9
Kure Beach,4
Kuttawa,8
Kutztown,160
Kyburz,126
Kykotsmovi Village,4
Kyle,139
La Canada Flintridge,431
La Center,3
La Crescent,70
La Crescenta,312
La Crosse,122
La Fargeville,3
La Fayette,41
La Feria,1
La Follette,20
La Grande,1075
La Grange,971
La Grange Highlands,2
La Grange Park,2
La Habra,40
La Habra Heights,4
La Honda,94
La Jara,31
La Jolla,520
La Jose,26
La Joya,2
La Junta,31
La Marque,50
La Mirada,260
La Motte,1
La Palma,225
La Pine,393
LA Place,170
La Plata,171
La Porte,163
La Porte City,6
La Pryor,3
La Puente,2311
La Sal,7
La Salle,111
La Vergne,355
La Verkin,4
La Verne,298
La Veta,10
La Vista,63
La Ward,1
Labadie,1
Labelle,159
Lacey,47
Laceys Spring,40
Laceyville,23
Lachine,1
Lackawaxen,11
Lacombe,32
Lacona,4
Laconia,24
Lacrosse,2
Ladd,1
Laddonia,18
Ladera Ranch,286
Ladoga,4
Ladora,6
Ladson,955
Lady Lake,76
Ladysmith,1
Lafayette,2480
Lafayette Hill,163
Lago Vista,13
LaGrange,236
Lagrangeville,126
Laguna,44
Laguna Beach,92
Laguna Hills,612
Laguna Niguel,449
Laguna Woods,12
Lagunitas,14
Laingsburg,4
Lairdsville,6
Lake,8
Lake Alfred,16
Lake Ariel,45
Lake Arrowhead,227
Lake Arthur,1
Lake Barrington,14
Lake Bluff,162
Lake Butler,123
Lake Charles,415
Lake City,1613
Lake Crystal,103
Lake Dallas,224
Lake Elmo,122
Lake Elsinore,1149
Lake Forest,1065
Lake Forest Park,2
Lake Geneva,6
Lake George,269
Lake Grove,10
Lake Harmony,63
Lake Havasu City,309
Lake Helen,66
Lake Hopatcong,34
Lake Hughes,71
Lake Huntington,1
Lake In The Hills,13
Lake Isabella,174
Lake Jackson,16
Lake Junaluska,4
Lake Katrine,49
Lake Leelanau,2
Lake Lillian,22
Lake Lure,7
Lake Luzerne,8
Lake Lynn,6
Lake Mary,510
Lake Mills,20
Lake Milton,10
Lake Odessa,3
Lake Orion,2
Lake Oswego,145
Lake Panasoffkee,63
Lake Park,37
Lake Placid,207
Lake Powell,5
Lake Providence,1
Lake Saint Louis,45
Lake Sherwood,4
Lake St Louis,17
Lake Station,370
Lake Stevens,114
Lake Suzy,5
Lake Tapps,6
Lake Toxaway,16
Lake View,91
Lake Villa,226
Lake Village,53
Lake Waccamaw,4
Lake Wales,107
Lake Wilson,22
Lake Worth,1120
Lake Worth Beach,491
Lake Zurich,817
Lakebay,1
Lakefield,126
Lakehead,371
Lakehurst,14
Lakeland,1344
Lakemoor,12
Lakeport,296
Lakeshore,6
Lakeside,86
Lakeside Park,2
Lakeside-Marblehead,1
Lakeview,249
Lakeville,504
Lakeway,12
Lakewood,860
Lakewood Ranch,32
Lakota,6
Lamar,270
Lambert,1
Lamberton,18
Lambertville,4
Lambsburg,43
Lame Deer,38
Lamesa,4
Lamoille,2
Lamoni,6
Lamont,377
Lamoure,2
Lampasas,2
Lamy,1
Lancaster,7205
Lancing,2
Land O Lakes,1004
Landenberg,59
Lander,3
Landing,22
Landis,4
Landisburg,17
Landisville,60
Landrum,210
Lane,13
Lanesboro,24
Lanesville,9
Lanett,27
Laneview,4
Lanexa,382
Langdon,2
Langford,1
Langhorne,256
Langley,5
Langlois,22
Langtry,2
Lanham,550
Lansdale,785
Lansdowne,141
Lanse,2
Lansford,3
Lansing,835
Lantana,7
Lapeer,20
Lapel,8
Lapine,10
Laplace,109
Laporte,76
Laramie,190
Larchmont,158
Laredo,41
Largo,1468
Larimer,2
Larimore,6
Larkspur,311
Larned,6
Larose,2
Larsen,10
Larwill,2
Las Animas,30
Las Cruces,90
Las Vegas,12
Latham,657
Lathrop,678
Latimer,16
Laton,143
Latonia,73
Latrobe,169
Latta,481
Lauderdale By The Sea,1
Lauderdale Lakes,110
Lauderhill,47
Laughlin,63
Laughlintown,15
Laurel,1198
Laurel Fork,4
Laurel Hill,56
Laurel Run,17
Laurel Springs,15
Laurelton,7
Laurelville,1
Laurens,617
Laurinburg,63
Lava Hot Springs,4
Lavaca,8
Lavallette,3
Laveen,210
Lavina,26
Lavonia,64
Lawley,24
Lawndale,412
Lawnside,140
Lawrence,165
Lawrence Township,144
Lawrence Twp,106
Lawrenceburg,40
Lawrenceville,426
Lawsonville,7
Lawtey,29
Lawton,15
Layton,488
Laytonville,153
Le Center,10
Le Claire,53
Le Grand,107
Le Mars,15
Le Raysville,1
Le Roy,142
Le Sueur,99
Leadville,48
League City,98
Leamington,4
Leander,200
Leary,1
Leasburg,7
Leavenworth,28
Leavittsburg,6
Leawood,279
Lebanon,1214
Lebanon Junction,61
Lebec,1236
Lebo,4
Lecanto,102
Leck Kill,4
Lecompte,9
Lecompton,3
Ledbetter,4
Ledgewood,67
Ledyard,10
Lee,146
Lee Center,9
Lee Vining,89
Leechburg,30
Leeds,335
Leeper,32
Lees Summit,493
Lee's Summit,235
Leesburg,1393
Leesport,25
Leesville,303
Leetonia,6
Leetsdale,11
Left Hand,13
Leggett,112
Lehi,601
Lehigh Acres,1785
Lehighton,92
Leicester,40
Leighton,22
Leitchfield,3
Leland,213
Lemitar,6
Lemon Cove,37
Lemont,92
Lemont Furnace,4
Lemoore,501
Lemoyne,349
Lena,18
Lenexa,845
Lengby,3
Lenhartsville,256
Lennon,53
Lenoir,62
Lenoir City,287
Lenore,2
Lenox,32
Lenzburg,1
Leo,9
Leola,247
Leoma,1
Leominster,42
Leon,5
Leona Valley,40
Leonard,7
Leonardo,5
Leonardtown,59
Leonia,161
Leopolis,3
Lepanto,3
Lerona,1
Leroy,3
Lesage,3
Leslie,39
Lester,4
Lester Prairie,22
Lesterville,1
Letohatchee,150
Letts,2
Leupp,2
Levan,7
Levelland,5
Levering,1
Levittown,81
Lewes,32
Lewis,3
Lewis Center,151
Lewis Run,88
Lewisberry,130
Lewisburg,396
Lewiston,198
Lewiston Woodville,16
Lewistown,460
Lewisville,961
Lexa,1
Lexington,4946
Lexington Park,56
Libby,65
Liberal,1
Liberty,1104
Liberty Center,10
Liberty Hill,22
Liberty Lake,59
Liberty Township,4
Liberty Twp,5
Libertytown,2
Libertyville,630
Licking,4
Lickingville,9
Lidgerwood,3
Lignum,9
Ligonier,111
Likely,12
Lilburn,30
Lilesville,11
Lillie,2
Lillington,85
Lilliwaup,23
Lilly,39
Lima,131
Limestone,22
Limon,51
Lincoln,862
Lincoln City,108
Lincoln Park,185
Lincoln University,27
Lincolnshire,112
Lincolnton,122
Lincolnwood,24
Lincroft,63
Lind,5
Lindale,7
Linden,1104
Lindenhurst,46
Lindenwold,2
Lindenwood,20
Lindley,1
Lindon,193
Lindsay,331
Lindsey,8
Lindside,1
Lindstrom,32
Line Lexington,14
Lineboro,3
Linesville,10
Lineville,4
Linfield,5
Lingle,4
Linkwood,5
Linn,4
Linthicum Heights,518
Linton,17
Linville,35
Linwood,73
Lisbon,25
Lisbon Falls,2
Lisle,397
Lismore,7
Litchfield,177
Litchfield Park,94
Lithia,48
Lithia Springs,292
Lithonia,582
Lithopolis,2
Lititz,545
Little Birch,4
Little Chute,9
Little Elm,2
Little Falls,519
Little Ferry,13
Little Hocking,6
Little Mountain,277
Little Neck,515
Little Orleans,17
Little Plymouth,11
Little River,551
Little Rock,2312
Little Rock Air Force Base,2
Little Sioux,7
Little Valley,3
Littlefield,152
Littlefork,6
Littlerock,390
Littlestown,123
Littleton,838
Live Oak,573
Livermore,2361
Livermore Falls,1
Liverpool,296
Livingston,1374
Livingston Manor,20
Livonia,318
Lizton,7
Llano,218
Loa,8
Lobelville,3
Loch Sheldrake,3
Lock Haven,229
Lockbourne,72
Locke,22
Lockeford,94
Lockesburg,19
Lockhart,43
Lockney,1
Lockport,130
Lockridge,1
Lockwood,27
Locust Fork,33
Locust Gap,6
Locust Grove,303
Locust Hill,6
Locust Valley,1
Lodge,29
Lodge Grass,145
Lodgepole,1
Lodi,1318
Log Lane Village,6
Logan,101
Logandale,23
Logansport,14
Loganton,262
Loganville,93
Loleta,102
Lolita,3
Lolo,116
Loma,31
Loma Linda,182
Loma Mar,11
Loman,5
Lombard,570
Lomira,30
Lomita,3
Lompoc,463
Lonaconing,15
London,144
Londonderry,54
Lone Grove,1
Lone Jack,2
Lone Pine,150
Lone Tree,142
Lonepine,6
Long Barn,66
Long Beach,5978
Long Branch,13
Long Creek,74
Long Grove,156
Long Island,2
Long Island City,400
Long Key,3
Long Lake,25
Long Pond,39
Long Prairie,102
Long Valley,2
Longboat Key,7
Longcreek,4
Longmeadow,3
Longmont,232
Longs,415
Longview,103
Longville,22
Longwood,653
Lonoke,154
Lonsdale,37
Loogootee,22
Lookout,43
Lookout Mountain,7
Loomis,205
Loon Lake,8
Lopez,5
Lorain,15
Loraine,2
Lordsburg,41
Lore City,9
Lorena,2
Loretto,83
Lorida,37
Loris,525
Lorton,1761
Los Alamitos,517
Los Alamos,61
Los Altos,304
Los Altos Hills,22
Los Angeles,48713
Los Banos,670
Los Fresnos,1
Los Gatos,1638
Los Lunas,1
Los Molinos,106
Los Olivos,57
Los Osos,164
Losantville,17
Lost Creek,23
Lost Hills,591
Lost Nation,1
Lostant,15
Lostine,13
Lothian,28
Lottie,7
Lottsburg,19
Lotus,44
Louann,2
Loudon,62
Loudonville,4
Louisa,283
Louisburg,93
Louise,2
Louisiana,1
Louisville,2916
Louisville Central,2
Loup City,3
Louviers,1
Loveland,338
Lovelock,43
Loves Park,6
Lovettsville,89
Loveville,2
Loving,10
Lovingston,48
Lovington,5
Low Moor,1
Lowell,670
Lowellville,2
Lower Keys,9
Lower Lake,221
Lower Merion,2
Lowgap,20
Lowman,1
Lowndesboro,40
Lowry,18
Lowry City,1
Lowville,15
Loxahatchee,49
Loxley,149
Loyalhanna,4
Loyalton,18
Loysburg,1
Loysville,18
Lubbock,31
Lucama,19
Lucan,4
Lucas,8
Lucasville,9
Lucedale,11
Lucerne,130
Lucerne Valley,2
Lucinda,31
Ludington,1
Ludlow,17
Ludowici,9
Lufkin,11
Lugoff,674
Luke,8
Luke Air Force Base,2
Lula,23
Luling,20
Lulu,2
Lumber Bridge,2
Lumber City,12
Lumberton,335
Lumpkin,16
Luna Pier,15
Lund,10
Lunenburg,17
Luning,8
Lupton City,1
Luray,224
Lurgan,11
Lusby,9
Lusk,5
Luther,18
Luthersburg,29
Luthersville,6
Lutherville Timonium,660
Lutsen,2
Luttrell,3
Lutts,3
Lutz,1339
Luverne,118
Luxemburg,2
Luxora,34
Luzerne,2
Lykens,5
Lyle,22
Lyles,7
Lyman,214
Lynbrook,59
Lynch Station,10
Lynchburg,575
Lynd,27
Lynden,28
Lyndhurst,98
Lyndon,10
Lyndon Station,11
Lynn,61
Lynn Center,15
Lynn Haven,38
Lynndyl,2
Lynnfield,84
Lynnville,12
Lynnwood,554
Lynwood,1272
Lyons,83
Lyons Falls,8
Lytle,3
Lytle Creek,27
Lytton,6
Mabank,4
Mabel,23
Mabelvale,14
Mableton,68
Macclenny,262
Macclesfield,6
Macdoel,84
Macedon,3
Macedonia,58
Maceo,2
Machesney Park,13
Machias,2
Machipongo,4
Mack,22
Mackay,2
Mackinaw,17
Mackinaw City,4
Macksburg,3
Macomb,12
Macon,793
Macungie,1
Mad River,33
Madbury,2
Madeira Beach,23
Madelia,57
Madeline,18
Madeline Plains,14
Madera,2214
Madison,4455
Madison Heights,522
Madison Lake,24
Madisonburg,33
Madisonville,43
Madras,436
Madrid,14
Magalia,220
Magazine,5
Magdalena,14
Magee,1
Maggie Valley,19
Magna,280
Magnolia,127
Magnolia Springs,1
Mahaffey,72
Mahanoy City,15
Mahnomen,23
Mahomet,33
Mahopac,80
Mahwah,156
Maiden,42
Maiden Rock,1
Maidens,96
Maidsville,1
Maine,7
Mainesburg,27
Maineville,47
Maitland,290
Maize,4
Malabar,100
Malad City,26
Malaga,19
Malakoff,4
Malcolm,1
Malcom,56
Malden,16
Malden Bridge,42
Malibu,663
Malin,18
Malinta,1
Malone,28
Malta,65
Malvern,818
Malverne,132
Mamaroneck,252
Mammoth,2
Mammoth Lakes,165
Mammoth Spring,12
Mamou,1
Man,1
Manahawkin,95
Manakin Sabot,136
Manalapan,23
Manasquan,18
Manassas,2189
Manassas Park,11
Manawa,2
Mancelona,5
Manchaca,74
Manchester,691
Manchester Township,26
Manchester Twp,8
Mancos,23
Mandan,103
Mandaree,15
Mandeville,85
Manhasset,357
Manhattan,255
Manhattan Beach,59
Manheim,589
Manila,17
Manilla,3
Manistee,5
Manistique,3
Manitou Beach,7
Manitou Springs,4
Manitowoc,13
Mankato,646
Manlius,27
Manly,9
Manning,440
Mannington,3
Manns Choice,98
Manns Harbor,1
Mannsville,3
Manor,1339
Manorville,65
Manquin,10
Mansfield,408
Mansfield Center,22
Manson,22
Mantachie,6
Manteca,1019
Manteno,29
Manti,25
Mantoloking,3
Manton,14
Mantorville,8
Mantua,137
Manvel,55
Many Farms,11
Manzanita,2
Manzanola,25
Maple Falls,6
Maple Grove,588
Maple Heights,56
Maple Hill,18
Maple Lake,28
Maple Park,25
Maple Plain,10
Maple Shade,155
Maple Valley,47
Maplesville,77
Mapleton,196
Mapleton Depot,55
Maplewood,6
Maquoketa,7
Marana,362
Marathon,154
Marble,15
Marble Canyon,12
Marble Falls,25
Marblehead,1
Marblehill,4
Marblemount,2
Marbury,41
Marcell,10
Marcellus,21
March Air Reserve Base,383
Marco Island,7
Marcus,1
Marcus Hook,302
Marcy,121
Mardela Springs,6
Marengo,150
Marfa,1
Margarettsville,3
Margaretville,2
Margate,3
Marianna,408
Maribel,2
Maricopa,587
Marienville,12
Marietta,1528
Marina,146
Marina del Rey,268
Marine,22
Marine On Saint Croix,12
Maringouin,32
Marion,1281
Marion Center,4
Marion Junction,11
Marion Station,18
Mariposa,349
Marked Tree,18
Markesan,2
Markham,202
Markle,3
Markleeville,152
Markleton,10
Markleville,13
Markleysburg,12
Marks,2
Marlboro,76
Marlborough,108
Marlette,4
Marlin,11
Marlow,1
Marlton,223
Marmaduke,4
Marmarth,2
Marmora,57
Marne,91
Marquette,2
Marquette Heights,2
Marrero,50
Marriottsville,145
Mars,33
Mars Hill,48
Marseilles,29
Marshall,643
Marshalltown,28
Marshallville,4
Marshfield,45
Marshville,24
Marsing,2
Marston,5
Mart,1
Martelle,2
Marthasville,6
Martin,76
Martin City,6
Martinez,1156
Martins Ferry,4
Martinsburg,452
Martinsdale,7
Martinsville,189
Martville,17
Marvell,1
Mary Esther,146
Marydel,14
Maryland Heights,158
Marysvale,14
Marysville,1504
Maryville,28
Mascot,1
Mascotte,3
Mascoutah,43
Mashantucket,1
Mashpee,11
Mason,199
Mason City,33
Masontown,5
Masonville,2
Maspeth,754
Massapequa,295
Massapequa Park,31
Massena,3
Massey,4
Massillon,22
Mastic,11
Mastic Beach,7
Masury,3
Matamoras,31
Matawan,161
Mather,50
Matheson,1
Mathews,63
Mathis,6
Matlacha,4
Mattamiscontis Twp,1
Mattapan,168
Mattapoisett,5
Mattaponi,15
Mattawa,5
Mattawan,54
Matteson,142
Matthews,413
Mattituck,12
Mattoon,29
Maugansville,6
Mauk,2
Mauldin,176
Maumee,108
Maumelle,98
Maupin,377
Maurertown,70
Maurice,2
Mauston,21
Max,12
Max Meadows,253
Maxbass,1
Maxton,91
Maxwell,103
Maxwelton,1
Maybell,6
Mayer,393
Mayesville,58
Mayfield,4
Mayflower,66
Maynard,45
Maynardville,5
Mayo,24
Mayodan,4
Mayport,16
Mays,4
Mays Landing,152
Maysville,69
Maytown,6
Mayview,4
Mayville,2
Maywood,280
Mazeppa,9
Mazomanie,5
Mazon,1
Mc Alisterville,53
Mc Allister,8
Mc Alpin,10
Mc Arthur,4
Mc Bee,52
Mc Calla,151
Mc Clave,2
Mc Clellandtown,13
Mc Clellanville,4
Mc Clure,55
Mc Coll,72
Mc Connells,32
Mc Connellsburg,93
Mc Cormick,61
Mc Coy,2
Mc Crory,3
Mc David,57
Mc Donald,163
Mc Dowell,3
Mc Ewen,27
Mc Farland,271
Mc Gaheysville,17
Mc Gehee,5
Mc Grady,5
Mc Grath,16
Mc Graw,19
Mc Gregor,15
Mc Intyre,2
Mc Kean,6
Mc Kee,1
Mc Kees Rocks,48
Mc Kenney,88
Mc Kenzie,19
Mc Kinnon,8
Mc Kittrick,44
Mc Lain,6
Mc Lean,1222
Mc Leansboro,4
Mc Leansville,56
Mc Leod,1
Mc Rae,9
Mc Rae Helena,1
Mc Sherrystown,15
Mc Veytown,73
McAdoo,46
McAlester,3
McAlisterville,15
McAllen,16
McAlpin,11
McArthur,209
McBee,15
Mccall,7
McCalla,72
Mccammon,7
McClave,4
McCleary,17
McClellan,84
McClellanville,1
McCloud,110
McClure,11
Mcclusky,5
McColl,29
McComb,28
McConnells,14
McConnellsburg,15
McCook,1
McCordsville,15
McCormick,26
McCrory,2
McDavid,17
McDermitt,34
McDermott,1
McDonald,58
McDonough,474
McDowell,11
McEwensville,2
McFarland,115
McGaheysville,20
McGehee,4
McGill,2
McGrady,1
McGregor,16
McHenry,90
McIntosh,14
McIntyre,5
McKean,17
McKees Rocks,23
McKeesport,61
McKenna,1
McKenney,41
McKenzie,12
Mckenzie Bridge,8
McKinleyville,323
McKinney,213
McKittrick,21
McLean,432
McLeansville,31
McLeod,2
McLoud,6
McMinnville,280
McNeil,3
McPherson,3
McRae,10
McRae-Helena,8
McSherrystown,2
McVeytown,19
McVille,1
Meacham,208
Mead,32
Meade,7
Meadow,20
Meadow Creek,1
Meadow Valley,2
Meadow Vista,65
Meadows of Dan,13
Meadows Place,3
Meadowview,64
Meadville,18
Meansville,4
Mebane,215
Mechanicsburg,471
Mechanicsville,630
Mechanicville,135
Medfield,3
Medford,879
Media,229
Mediapolis,1
Medical Lake,17
Medicine Lake,1
Medicine Lodge,4
Medimont,1
Medina,170
Medinah,13
Medley,111
Medon,3
Medora,11
Medway,43
Meeker,32
Meherrin,19
Meigs,5
Melba,2
Melbourne,1782
Melbourne Beach,51
Melcroft,5
Melfa,27
Melissa,21
Mellen,1
Mellenville,1
Melrose,223
Melrose Park,219
Melville,429
Melvindale,33
Memphis,5375
Mena,18
Menahga,43
Menands,3
Menard,3
Menasha,27
Mendenhall,9
Mendham,1
Mendocino,63
Mendon,11
Mendota,315
Menifee,660
Menlo,27
Menlo Park,554
Menoken,11
Menominee,3
Menomonee Falls,27
Menomonie,47
Mentone,205
Mentor,68
Mequon,75
Meraux,1
Merced,1374
Mercedes,2
Mercer,120
Mercer Island,155
Mercersburg,17
Merchantville,181
Meredith,17
Meredosia,2
Meridale,4
Meriden,1190
Meridian,1717
Meridianville,71
Merino,21
Merion Station,103
Merkel,3
Merna,2
Merrick,548
Merrill,53
Merrillville,275
Merrimac,30
Merrimack,40
Merritt,2
Merritt Island,683
Merry Hill,6
Mershon,1
Mertztown,8
Mesa,1792
Mescalero,2
Meshoppen,15
Mesick,2
Mesquite,2807
Meta,1
Metairie,526
Metamora,2
Methuen,191
Metropolis,33
Metter,25
Metuchen,156
Metz,2
Mexican Hat,30
Mexico,43
Mexico Beach,2
Meyersdale,100
Mi Wuk Village,74
Miami,91651
Miami Beach,1103
Miami Gardens,1519
Miami Lakes,641
Miami Shores,152
Miami Springs,77
Miamisburg,456
Micanopy,326
Michigan,2
Michigan City,163
Mickleton,31
Middle Granville,8
Middle Grove,24
Middle Island,25
Middle Keys,7
Middle Point,1
Middle River,80
Middle Village,16
Middleboro,23
Middlebrook,3
Middleburg,448
Middleburgh,5
Middlebury,200
Middlebury Center,31
Middlefield,17
Middleport,8
Middlesex,47
Middleton,44
Middletown,2237
Middleville,7
Midkiff,3
Midland,247
Midland City,50
Midlothian,1427
Midpines,38
Midvale,480
Midway,296
Midway City,126
Midway Park,4
Mifflin,36
Mifflinburg,212
Mifflintown,196
Mifflinville,6
Milaca,112
Milan,217
Milano,2
Milanville,11
Milbank,1
Mildred,8
Miles,3
Miles City,65
Milesburg,4
Milford,1344
Milford Center,2
Mill City,19
Mill Creek,125
Mill Hall,275
Mill Run,6
Mill Spring,7
Mill Valley,603
Millboro,4
Millbrae,252
Millbrook,180
Millburn,9
Millbury,60
Milldale,4
Milledgeville,43
Millen,10
Miller,1
Miller Place,12
Millers Creek,18
Millersburg,21
Millersport,9
Millerstown,69
Millersville,392
Millerton,48
Millheim,28
Milliken,15
Millington,83
Millis,2
Millmont,38
Mills,9
Mills River,59
Millsap,14
Millsboro,38
Millstadt,5
Millstone Township,14
Millstone Twp,17
Milltown,74
Millville,219
Millwood,15
Milner,31
Milnor,4
Milpitas,809
Milroy,107
Milton,2425
Milton Freewater,108
Miltona,3
Milton-Freewater,1
Milwaukee,3132
Mims,267
Minden,161
Mindoro,2
Mine Hill,3
Mineola,35
Mineral,265
Mineral Bluff,3
Mineral City,3
Mineral Point,29
Mineral Ridge,4
Mineral Springs,1
Mineral Wells,24
Minerva,8
Minetto,2
Mingo,1
Mingus,4
Minier,5
Minneapolis,15020
Minneola,20
Minneota,2
Minnesota City,32
Minnesota Lake,11
Minnetonka,93
Minnewaukan,1
Minonk,9
Minooka,74
Minot,39
Minot AFB,1
Mint Hill,83
Minter,13
Minto,2
Minturn,11
Mio,2
Mira Loma,1706
Miramar,67
Miramar Beach,183
Miramonte,30
Miranda,1
Mirror Lake,1
Mishawaka,18
Mission,252
Mission Hills,834
Mission Viejo,1394
Missoula,716
Missouri City,130
Missouri River,4
Missouri Valley,51
Mitchell,139
Mitchells,5
Mitchellville,42
Mi-Wuk Village,1
Mizpah,1
Moab,104
Moapa,15
Moberly,1
Mobile,1771
Moccasin,1
Mocksville,166
Modale,11
Model,15
Modena,15
Modesto,3298
Modoc,18
Moffat,11
Moffit,3
Mogadore,7
Mohave Valley,7
Mohawk,107
Mohegan Lake,106
Mohnton,33
Mojave,568
Mokelumne Hill,162
Mokena,121
Molalla,124
Molena,18
Moline,13
Molino,97
Molt,7
Momence,2
Mona,103
Monaca,9
Monahans,12
Monango,1
Monarch,5
Moncks Corner,761
Monclova,1
Moncure,54
Mondamin,10
Mondovi,8
Monee,68
Monessen,7
Moneta,97
Monetta,48
Monette,1
Mongaup Valley,5
Monkton,30
Monmouth,108
Monmouth Junction,174
Monona,1
Monongahela,27
Monroe,961
Monroe Center,10
Monroe City,13
Monroe Township,168
Monroeton,13
Monroeville,283
Monrovia,948
Monsey,86
Monson,1
Mont Clare,21
Mont Vernon,1
Montague,299
Montalba,3
Montandon,10
Montara,34
Montauk,4
Montchanin,6
Montclair,891
Monte Rio,63
Monte Sereno,1
Monte Vista,20
Monteagle,70
Montebello,438
Montello,34
Monterey,522
Monterey Park,662
Montesano,40
Montevallo,21
Montevideo,82
Montezuma,27
Montfort,5
Montgomery,4219
Montgomery City,16
Montgomery Creek,75
Montgomery Village,2
Montgomeryville,232
Monticello,1334
Montour,3
Montour Falls,3
Montoursville,182
Montpelier,73
Montrose,429
Montross,58
Montvale,84
Montverde,88
Montville,32
Monument,102
Moodus,3
Moody,42
Mooers,1
Moorcroft,6
Moore,489
Moore Haven,55
Moores Hill,2
Mooresboro,22
Mooresburg,4
Moorestown,53
Mooresville,585
Mooreton,10
Mooreville,5
Moorhead,56
Mooringsport,11
Moorland,1
Moorpark,408
Moose Lake,76
Moosic,96
Moosup,4
Mora,66
Moraga,3
Moraine,66
Moran,1
Morann,3
Moravia,16
Moravian Falls,17
Morehead,2
Moreland,61
Morenci,8
Moreno Valley,2058
Morgan,252
Morgan City,4
Morgan Hill,1073
Morganfield,2
Morganton,235
Morgantown,456
Morganville,79
Moriah Center,1
Moriarty,47
Moriches,6
Morland,1
Morley,2
Morning View,17
Morningside,8
Moro,75
Morocco,11
Moroni,6
Morral,1
Morrice,10
Morrilton,93
Morris,182
Morris Plains,32
Morrisdale,165
Morrison,206
Morrisonville,4
Morriston,59
Morristown,405
Morrisville,1147
Morro Bay,103
Morrow,218
Morton,181
Morton Grove,50
Morven,8
Mosca,5
Moscow,149
Moscow Mills,2
Moseley,108
Moselle,19
Moses Lake,3
Moshannon,8
Mosheim,15
Mosier,42
Mosinee,8
Moss,5
Moss Beach,106
Moss Landing,246
Moss Point,147
Mossyrock,13
Motley,102
Mott,1
Moulton,23
Moultonborough,8
Moultrie,15
Mound City,3
Mound House,9
Mounds,3
Moundsville,2
Moundville,30
Mount Airy,322
Mount Angel,33
Mount Bethel,13
Mount Carmel,61
Mount Clare,14
Mount Clemens,4
Mount Crawford,199
Mount Croghan,27
Mount Dora,147
Mount Ephraim,59
Mount Gilead,46
Mount Gretna,14
Mount Hamilton,57
Mount Hermon,3
Mount Holly,126
Mount Holly Springs,3
Mount Hood Parkdale,116
Mount Hope,43
Mount Horeb,3
Mount Ida,6
Mount Jackson,109
Mount Jewett,38
Mount Joy,179
Mount Judea,4
Mount Juliet,85
Mount Kisco,149
Mount Laurel,515
Mount Lemmon,23
Mount Lookout,3
Mount Morris,329
Mount Nebo,2
Mount Olive,38
Mount Orab,3
Mount Pleasant,289
Mount Pleasant Mills,53
Mount Pocono,7
Mount Prospect,7
Mount Rainier,21
Mount Royal,9
Mount Shasta,315
Mount Sidney,94
Mount Sinai,5
Mount Solon,18
Mount Sterling,69
Mount Storm,3
Mount Tabor,4
Mount Ulla,6
Mount Union,56
Mount Vernon,597
Mount Victory,4
Mount Washington,2
Mount Wolf,31
Mountain Brk,16
Mountain City,15
Mountain Home,119
Mountain Iron,43
Mountain Lake,42
Mountain Lakes,2
Mountain Pine,1
Mountain Ranch,43
Mountain Rest,64
Mountain Top,115
Mountain View,1282
Mountainburg,26
Mountainside,24
Mountlake Terrace,223
Mountville,170
Mouth Of Wilson,13
Moville,1
Moxee,1
Moyock,17
Mt Airy,142
Mt Aukum,1
Mt Ayr,1
Mt Baldy,106
Mt Bethel,2
Mt Carmel,27
Mt Clare,13
