City,Total Accidents,start_hour
Afton,7,19
Afton,10,20
Afton,1,21
Afton,8,22
Afton,10,23
Agate,3,1
Agate,2,3
Agate,2,4
Agate,3,8
Agate,2,11
Agate,1,12
Agate,5,15
Agate,2,16
Agate,3,18
Agawam,1,9
Agency,1,2
Agency,1,11
Agency,2,12
Agency,2,15
Agoura Hills,8,0
Agoura Hills,7,1
Agoura Hills,10,2
Agoura Hills,12,3
Agoura Hills,9,4
Agoura Hills,15,5
Agoura Hills,6,6
Agoura Hills,14,7
Agoura Hills,19,8
Agoura Hills,13,9
Agoura Hills,21,10
Agoura Hills,26,11
Agoura Hills,11,12
Agoura Hills,20,13
Agoura Hills,34,14
Agoura Hills,30,15
Agoura Hills,31,16
Agoura Hills,23,17
Agoura Hills,31,18
Agoura Hills,21,19
Agoura Hills,17,20
Agoura Hills,15,21
Agoura Hills,20,22
Agoura Hills,15,23
Aguila,3,10
Aguila,2,11
Aguilar,2,6
Aguilar,1,7
Aguilar,1,9
Aguilar,1,12
Aguilar,2,13
Aguilar,5,14
Aguilar,1,16
Aguilar,3,17
Aguilar,3,19
Aguilar,1,20
Aguilar,1,21
Aguilar,1,22
Ahoskie,4,7
Ahoskie,1,9
Ahoskie,4,15
Ahoskie,4,16
Ahoskie,8,19
Ahoskie,6,20
Ahoskie,3,22
Ahwahnee,1,0
Ahwahnee,1,2
Ahwahnee,1,3
Ahwahnee,4,5
Ahwahnee,2,6
Ahwahnee,9,7
Ahwahnee,5,8
Ahwahnee,3,9
Ahwahnee,3,10
Ahwahnee,3,12
Ahwahnee,4,13
Ahwahnee,3,15
Ahwahnee,4,16
Ahwahnee,4,17
Ahwahnee,3,18
Ahwahnee,9,20
Aiken,24,0
Aiken,19,1
Aiken,16,2
Aiken,22,3
Aiken,25,4
Aiken,21,5
Aiken,42,6
Aiken,71,7
Aiken,48,8
Aiken,52,9
Aiken,33,10
Aiken,37,11
Aiken,47,12
Aiken,44,13
Aiken,60,14
Aiken,58,15
Aiken,56,16
Aiken,89,17
Aiken,70,18
Aiken,58,19
Aiken,43,20
Aiken,39,21
Aiken,32,22
Aiken,37,23
Ailey,1,12
Ailey,2,21
Ailey,1,23
Ainsworth,2,0
