City,Severity,Total Accidents
Arbuckle,2,177
Arbuckle,3,4
Arbuckle,4,2
Arbyrd,2,1
Arbyrd,4,1
Arcade,2,8
Arcadia,1,7
Arcadia,2,994
Arcadia,3,103
Arcadia,4,17
Arcadia West,1,2
Arcanum,2,12
Arcata,1,3
Arcata,2,272
Arcata,4,1
Arch Cape,2,18
Archbald,2,12
Archbold,1,1
Archbold,2,18
Archbold,3,22
Archdale,2,2
Archdale,4,1
Archer,2,75
Archer City,2,4
Arco,2,5
Arco,4,2
Arcola,2,2
Arcola,3,15
Arcola,4,2
Ardara,2,3
Ardara,4,2
Arden,1,1
Arden,2,433
Arden,3,97
Arden,4,42
Ardmore,1,8
Ardmore,2,210
Ardmore,3,15
Ardmore,4,1
Ardsley,2,101
Ardsley,3,17
Ardsley,4,1
Argenta,3,3
Argos,2,6
Argos,4,1
Argusville,2,43
Argyle,2,77
Argyle,3,14
Argyle,4,2
Ariel,2,13
Ariel,4,2
Arimo,2,2
Aripeka,2,2
Ariton,2,16
Arkadelphia,2,132
Arkadelphia,3,1
Arkadelphia,4,12
Arkansas City,2,1
Arlee,2,56
Arlee,4,4
Arleta,2,64
Arleta,3,2
Arleta,4,1
Arlington,1,13
Arlington,2,4215
Arlington,3,775
Arlington,4,81
Arlington Heights,1,3
Arlington Heights,2,145
Arlington Heights,3,25
Arlington Heights,4,7
Armagh,2,2
Armbrust,2,1
Armington,2,1
Armona,1,1
Armona,2,85
Armonk,1,1
Armonk,2,124
Armonk,3,21
Armonk,4,1
Armstrong,2,3
Armstrong,4,2
Armuchee,2,11
Armuchee,3,1
Armuchee,4,1
Arnegard,2,1
Arnold,1,4
Arnold,2,277
Arnold,3,28
Arnold,4,6
Arnoldsville,2,2
Arnoldsville,4,1
Aromas,1,4
Aromas,2,228
Aromas,3,1
Aromas,4,3
Arona,2,7
Arona,4,1
Arrey,2,2
Arrey,4,1
Arriba,2,3
Arriba,3,2
Arriba,4,3
Arrington,2,42
Arrington,3,4
Arrington,4,7
Arroyo Grande,1,8
Arroyo Grande,2,506
Arroyo Grande,3,1
Arroyo Grande,4,2
Artesia,2,240
Artesia,3,2
Artesia,4,2
Arthur,2,2
Artois,2,7
Arundel,2,1
Arvada,1,11
Arvada,2,194
Arvada,3,38
Arvada,4,17
Arverne,2,4
Arvilla,2,6
Arvin,1,6
Arvin,2,372
Arvin,3,4
Arvin,4,7
Asbury,2,59
Asbury,3,17
Asbury,4,2
Asbury Park,2,67
Asbury Park,4,5
Ash,2,12
Ash,4,3
Ash Flat,2,2
Ash Flat,4,1
Ash Fork,1,1
Ash Fork,2,125
Ash Fork,3,15
Ash Fork,4,5
Ash Grove,2,16
Ash Grove,3,2
Ashaway,1,2
Ashaway,2,22
Ashaway,3,2
Ashburn,1,16
Ashburn,2,806
Ashburn,3,14
Ashburn,4,43
Ashburnham,2,1
Ashby,1,2
Ashby,2,225
Ashby,3,3
Ashdown,2,6
Ashdown,4,3
Asheboro,2,82
Asheboro,3,6
Asheboro,4,29
Asheville,1,9
Asheville,2,1774
Asheville,3,329
Asheville,4,125
Ashford,2,19
Ashford,4,3
Ashkum,2,1
Ashkum,3,21
Ashland,1,5
Ashland,2,1862
Ashland,3,127
Ashland,4,52
Ashland City,2,14
Ashland City,4,2
Ashley,2,26
Ashley,4,2
Ashtabula,2,17
Ashtabula,3,9
Ashton,2,9
Ashton,3,2
Ashuelot,2,2
Ashville,2,91
Ashville,3,9
Ashville,4,6
Askov,2,30
Aspen,2,30
Aspen,4,18
Aspers,1,3
Aspers,2,20
Aspers,4,2
Aspinwall,2,2
Assawoman,2,2
Assawoman,4,1
Assonet,2,17
Astatula,2,7
Astatula,4,3
Aston,2,158
Aston,3,7
Aston,4,10
Astor,2,57
Astor,4,3
Astoria,2,645
Astoria,3,49
Astoria,4,16
Atalissa,2,13
Atalissa,3,4
Atascadero,2,241
Atascadero,3,1
Atascosa,2,4
Atco,1,1
Atco,2,20
Atco,4,5
Atglen,2,36
Athena,2,22
Athens,1,14
Athens,2,644
Athens,3,44
Athens,4,19
Atherton,2,40
Atherton,3,1
Athol,2,7
Atkins,2,134
Atkins,3,13
Atkins,4,9
Atkinson,1,1
Atkinson,2,14
Atkinson,3,1
Atkinson,4,1
Atlanta,1,35
Atlanta,2,10604
Atlanta,3,4912
Atlanta,4,652
Atlanta-Decatur,2,3
Atlanta-Decatur,3,2
Atlantic,2,66
Atlantic,3,7
Atlantic,4,9
Atlantic Beach,2,6
Atlantic City,2,80
Atlantic City,4,6
Atlantic Highlands,2,4
Atlantic Highlands,4,1
Atlantic Mine,4,1
Atlas,2,3
Atmore,1,1
Atmore,2,71
